Account Owner;Account Name;Lead Source;Type;Industry;Account Description;Account: Phone;Account: Fax;Website;Billing Street;Billing City;Billing State/Province;Billing Zip/Postal Code;Billing Country;Custom Account Field 1;Custom Account Field 2;Custom Account Field 3;Custom Account Field 4;Contact Owner;Salutation;First Name;Last Name;Title;Department;Description;Mailing Street;Mailing City;Mailing State/Province;Mailing Zip/Postal Code;Mailing Country;Phone;Mobile;Fax;Email;Custom Contact Field 1;Custom Contact Field 2;Custom Contact Field 3;Custom Contact Field 4
Shell Black;Grand Hotels & Resorts Ltd;Partner Referral;Customer - Direct;Hospitality;Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.;(312) 596-1000;(312) 596-1500;www.grandhotels.com;2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA;Chicago;IL;;;;;;;Shell Black;Mr.;Tim;Barr;SVP, Administration and Finance;Finance;;2335 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA;;;;;(312) 596-1000;(312) 596-1230;(312) 596-1500;barr_tim@grandhotels.com;;;;
Shell Black;Grand Hotels & Resorts Ltd;Partner Referral;Customer - Direct;Hospitality;Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.;(312) 596-1000;(312) 596-1500;www.grandhotels.com;2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA;Chicago;IL;;;;;;;Shell Black;Mr.;John;Bond;VP, Facilities;Facilities;;2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA;;;;;(312) 596-1000;(312) 596-1563;(312) 596-1500;bond_john@grandhotels.com;;;;
Shell Black;Express Logistics and Transport;Phone Inquiry;Customer - Channel;Transportation;Commerical logistics and transportation company.;(503) 421-7800;(503) 421-7801;www.expressl&t.net;620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States;Portland;OR;;;;;;;Shell Black;Ms.;Babara;Levy;SVP, Operations;Operations;;620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States;;;;;(503) 421-7800;(503) 421-5451;(503) 421-7801;b.levy@expressl&t.net;;;;
Shell Black;United Oil & Gas, UK;Purchased List;Customer - Direct;Energy;;+44 191 4956203;+44 191 4956620;http://www.uos.com;Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom;;UK;;;;;;;Shell Black;Ms.;Ashley;James;VP, Finance;Finance;;Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom;;;;;+44 191 4956203;+44 191 3456234;+44 191 4956620;ajames@uog.com;;;;
Shell Black;United Oil & Gas, Singapore;Purchased List;Customer - Direct;Energy;;(650) 450-8810;(650) 450-8820;http://www.uos.com;9 Tagore Lane Singapore, Singapore 787472 Singapore;Singapore;Singapore;;;;;;;Shell Black;Mr.;Tom;Ripley;Regional General Manager;Executive Team;;9 Tagore Lane Singapore, Singapore 787472 Singapore;;;;;(650) 450-8810;(650) 345-7636;(650) 450-8820;tripley@uog.com;;;;
Shell Black;United Oil & Gas, Singapore;Purchased List;Customer - Direct;Energy;;(650) 450-8810;(650) 450-8820;http://www.uos.com;9 Tagore Lane Singapore, Singapore 787472 Singapore;Singapore;Singapore;;;;;;;Shell Black;Ms.;Liz;D'Cruz;VP, Production;Production;;10 Tagore Lane Singapore, Singapore 787472 Singapore;;;;;(650) 450-8810;(650) 345-6637;(650) 450-8820;ldcruz@uog.com;;;;
Shell Black;GenŽPoint;Partner Referral;Customer - Channel;Biotechnology;Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs;(650) 867-3450;(650) 867-9895;www.genepoint.com;345 Shoreline Park Mountain View, CA 94043 USA;Mountain View;CA;;;;;;;Shell Black;Ms.;Edna;Frank;VP, Technology;Technology;;345 Shoreline Park Mountain View, CA 94043 USA;;;;;(650) 867-3450;(650) 867-7686;(650) 867-9895;efrank@genepoint.com;;;;
Shell Black;sForce;;;;;(415) 901-7000;(415) 901-7002;www.sforce.com;The Landmark @ One Market;San Francisco;CA;94087;US;;;;;Shell Black;Ms.;Siddartha;Nedaerk;;;;The Landmark @ One Market;San Francisco;CA;94087;US;(415) 901-7000;;(415) 901-7002;;;;;
Shell Black;sForce;;;;;(415) 901-7000;(415) 901-7002;www.sforce.com;The Landmark @ One Market;San Francisco;CA;94087;US;;;;;Shell Black;Mr.;Jake;Llorrac;;;;The Landmark @ One Market;San Francisco;CA;94087;US;(415) 901-7000;;(415) 901-7002;;;;;
Shell Black;United Oil & Gas Corp.;Purchased List;Customer - Direct;Energy;World's third largest oil and gas company.;(212) 842-5500;(212) 842-5501;http://www.uos.com;1301 Avenue of the Americas New York, NY 10019 USA;New York;NY;;;;;;;Shell Black;Mr.;Arthur;Song;CEO;Executive Team;;1301 Avenue of the Americas New York, NY 10019 USA;;;;;(212) 842-5500;(212) 842-4535;(212) 842-5501;asong@uog.com;;;;
